id,user_id,event_type,product_id,category_id,path,referrer,ip_address,user_agent,dwell_time_ms,payload,created_at
12,b07ebee4-07f9-4ad3-aa3a-8a49b1e81011,PRODUCT_VIEW,22.0,5.0,/api/products/22,,::ffff:172.19.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36 Edg/152.0.0.0",,"{'sku': 'FTW-ADI-UB22-BLK', 'name': 'Adidas Ultraboost 22'}",2026-08-30 21:04:48.921048+00:00
18,,PRODUCT_VIEW,22.0,5.0,/api/track/dwell,,::ffff:172.19.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36 Edg/152.0.0.0",1240.0,{'dwellUpdate': True},2026-08-30 21:04:50.265531+00:00
19,b07ebee4-07f9-4ad3-aa3a-8a49b1e81011,PRODUCT_VIEW,17.0,4.0,/api/products/17,,::ffff:172.19.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36 Edg/152.0.0.0",,"{'sku': 'AUD-APL-APP2-USB', 'name': 'Apple AirPods Pro (2nd Gen)'}",2026-08-30 21:04:51.717155+00:00
25,,PRODUCT_VIEW,17.0,4.0,/api/track/dwell,,::ffff:172.19.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36 Edg/152.0.0.0",967.0,{'dwellUpdate': True},2026-08-30 21:04:52.775289+00:00
26,b07ebee4-07f9-4ad3-aa3a-8a49b1e81011,PRODUCT_VIEW,7.0,2.0,/api/products/7,,::ffff:172.19.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36 Edg/152.0.0.0",,"{'sku': 'CLT-TEE-CREW-WHT', 'name': 'Essential Crewneck Tee'}",2026-08-30 21:04:53.747673+00:00
29,b07ebee4-07f9-4ad3-aa3a-8a49b1e81011,ADD_TO_CART,,,,,,,,"{'quantity': 1, 'productId': 7, 'productName': 'Essential Crewneck Tee'}",2026-08-30 21:04:54.698755+00:00
32,,PRODUCT_VIEW,7.0,2.0,/api/track/dwell,,::ffff:172.19.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36 Edg/152.0.0.0",2829.0,{'dwellUpdate': True},2026-08-30 21:04:56.662340+00:00
88,039f72de-f8df-497e-a0d1-44b64821a38a,PRODUCT_VIEW,4.0,1.0,/api/products/4,,::ffff:172.19.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36 Edg/152.0.0.0",,"{'sku': 'PHN-APL-SE3-128', 'name': 'iPhone SE (3rd Gen) 128GB'}",2026-08-31 02:04:31.104378+00:00
91,039f72de-f8df-497e-a0d1-44b64821a38a,ADD_TO_CART,,,,,,,,"{'quantity': 1, 'productId': 4, 'productName': 'iPhone SE (3rd Gen) 128GB'}",2026-08-31 02:04:35.725926+00:00
95,,PRODUCT_VIEW,4.0,1.0,/api/track/dwell,,::ffff:172.19.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36 Edg/152.0.0.0",14865.0,{'dwellUpdate': True},2026-08-31 02:04:46.171032+00:00
100,039f72de-f8df-497e-a0d1-44b64821a38a,PRODUCT_VIEW,3.0,1.0,/api/products/3,,::ffff:172.19.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36 Edg/152.0.0.0",,"{'sku': 'PHN-GGL-P8P-128', 'name': 'Google Pixel 8 Pro 128GB'}",2026-08-31 02:04:49.829455+00:00
106,,PRODUCT_VIEW,3.0,1.0,/api/track/dwell,,::ffff:172.19.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36 Edg/152.0.0.0",2247.0,{'dwellUpdate': True},2026-08-31 02:04:52.176650+00:00
107,039f72de-f8df-497e-a0d1-44b64821a38a,PRODUCT_VIEW,1.0,1.0,/api/products/1,,::ffff:172.19.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36 Edg/152.0.0.0",,"{'sku': 'PHN-APL-15PM-256', 'name': 'iPhone 15 Pro Max 256GB'}",2026-08-31 02:04:53.555832+00:00
113,,PRODUCT_VIEW,1.0,1.0,/api/track/dwell,,::ffff:172.19.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36 Edg/152.0.0.0",3169.0,{'dwellUpdate': True},2026-08-31 02:04:56.812115+00:00
110,,PRODUCT_VIEW,1.0,1.0,/api/products/1,,::ffff:172.19.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36 Edg/152.0.0.0",,"{'sku': 'PHN-APL-15PM-256', 'name': 'iPhone 15 Pro Max 256GB'}",2026-08-31 02:04:56.760467+00:00
121,,PRODUCT_VIEW,1.0,1.0,/api/track/dwell,,::ffff:172.19.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36 Edg/152.0.0.0",1783.0,{'dwellUpdate': True},2026-08-31 02:05:03.049919+00:00
114,,PRODUCT_VIEW,1.0,1.0,/api/track/dwell,,::ffff:172.19.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36 Edg/152.0.0.0",1576.0,{'dwellUpdate': True},2026-08-31 02:04:58.462768+00:00
